CITY,STATE 1,STATE 2,AREA,COLOR
Boerne,Texas,TX,SA,Yellow
Fair Oaks Ranch,Texas,TX,SA,Green
Kendalia,Texas,TX,SA,Yellow
Blanco,Texas,TX,SA,Yellow
Bulverde,Texas,TX,,Blue
Spring Branch,Texas,TX,,Blue
Fischer,Texas,TX,,Blue
Johnson City,Texas,TX,A,Yellow
Henly,Texas,TX,A,Yellow
Liberty Hill,Texas,TX,A,Yellow
Georgetown,Texas,TX,A,Yellow
Hutto,Texas,TX,A,Green
Manor,Texas,TX,A,Green
Taylor,Texas,TX,A,Yellow
Hondo ,Texas,TX,SA,Yellow
Lakehills,Texas,TX,SA,Yellow
Lacoste,Texas,TX,SA,Green
Cross Mountain,Texas,TX,SA,Green
Grey Forest,Texas,TX,SA,Green
Atascosa,Texas,TX,SA,Green
Somerset,Texas,TX,SA,Green
Sandy Oaks,Texas,TX,SA,Green
Calaveras,Texas,TX,SA,Green
Kicaster,Texas,TX,SA,Green
La Vernia,Texas,TX,SA,Green
Mico,Texas,TX,SA,Yellow
Rio Medina,Texas,TX,SA,Yellow
Quilhi,Texas,TX,SA,Yellow
Dunlay,Texas,TX,SA,Yellow
Castroville,Texas,TX,SA,Yellow
Pearson,Texas,TX,SA,Yellow
Natalia,Texas,TX,SA,Yellow
Leming,Texas,TX,SA,Yellow
Devine,Texas,TX,SA,Yellow
Floresville,Texas,TX,SA,Yellow
Belmont,Texas,TX,SA,Yellow
Ottine,Texas,TX,SA,Yellow
Harwood,Texas,TX,SA,Yellow
Sandy Fork,Texas,TX,SA,Yellow
Luling,Texas,TX,,Blue
McMahan,Texas,TX,,Blue
Red Rock,Texas,TX,,Blue
Rockne,Texas,TX,,Blue
Cypress Mill,Texas,TX,A,Yellow
Spicewood,Texas,TX,A,Yellow
Lago Vista,Texas,TX,A,Yellow
Jonestown,Texas,TX,A,Yellow
Leander,Texas,TX,A,Yellow
Weir,Texas,TX,A,Yellow
Jonah,Texas,TX,A,Yellow
Circleville,Texas,TX,A,Yellow
Coupland,Texas,TX,A,Yellow
Elgin,Texas,TX,A,Yellow
Sayersville,Texas,TX,A,Yellow
Camp Swift,Texas,TX,A,Yellow
Bastrop,Texas,TX,A,Yellow
Clearview,Texas,TX,A,Yellow
Jordan,Texas,TX,A,Yellow
Rosanky,Texas,TX,A,Yellow
Dripping Springs,Texas,TX,A,Green
Lakeway,Texas,TX,A,Green
Hudson Bend,Texas,TX,A,Green
Volente,Texas,TX,A,Green
Cedar Park,Texas,TX,A,Green
Cele,Texas,TX,A,Green
Hornsby Bend,Texas,TX,A,Green
Garfield,Texas,TX,A,Green
Wyldwood,Texas,TX,A,Green
Cedar Creek,Texas,TX,A,Green
